dataset,duration,neighbours,max_duration,max_duration_ls,iterations,best_iteration,initial_costs,initial_distance,best_costs,best_distance
skas_12t,240.819553109,1..23,240,5,46,15,91147.25373967219,3294.8538408731083,49903.00618387434,1942.5931748914766
skas_12t,241.72844241,1..23,240,5,46,9,87916.41102016838,3038.534133135182,49649.11840024088,2008.2581237392033
skas_12t,246.121735077,1..23,240,5,47,27,87712.37612768458,3103.952083382842,46888.38207772923,1793.8042634575652
skas_12t,246.039733995,1..23,240,5,47,11,84107.52577050442,3251.3104189081437,49336.27866868689,1824.2401310581677
skas_12t,241.882750956,1..23,240,5,46,2,77693.43013026209,3174.399460321536,52172.87603818038,2079.700647809992
skas_12t,241.321654064,1..23,240,5,46,20,80376.35574396419,2770.0512256308825,51013.03823311985,2056.8831061865994
skas_12t,241.330656998,1..23,240,5,46,5,89056.97842198992,3435.1528554908346,49926.59316354756,1967.9984261766454
skas_12t,241.289886876,1..23,240,5,46,7,77866.15890630867,2865.425927330135,50075.36188926878,2133.390450038088
skas_12t,241.755922501,1..23,240,5,46,21,106357.1535548097,3974.9616441651888,53442.563967458824,2119.9588158620822
skas_12t,245.157408106,1..23,240,5,47,9,81773.10530552015,3091.855419001701,52824.53392834347,2082.69412842377
skas_12t,241.07591317,1..23,240,5,46,45,98521.01617368685,3549.8528022827104,46953.4888916549,1918.1579926341203
skas_12t,241.039865003,1..23,240,5,46,14,61792.19556297854,2384.14289513226,50039.913885755515,2102.3322444968344
skas_12t,241.810581153,1..23,240,5,46,46,88643.99041979955,3406.8633325646656,51020.8144843075,1992.152870370945
skas_12t,241.074345457,1..23,240,5,46,12,86373.19223655658,3374.5329046015363,48774.75489397729,1893.2884172784195
skas_12t,241.487782779,1..23,240,5,46,42,93126.33745403824,3361.3822455755394,48766.22901188994,1927.756680585694
skas_12t,241.340884527,1..23,240,5,46,45,123280.00353851539,4233.710807606331,46934.40070996442,1835.6622296986848
skas_12t,241.709224886,1..23,240,5,46,5,103265.33449992287,3602.797936733288,52307.11997100499,2149.7431622418762
skas_12t,240.795569767,1..23,240,5,46,40,79626.08789622782,3063.1573037126636,49836.05287478139,1897.4433317547966
skas_12t,241.756322163,1..23,240,5,46,12,94072.54338184888,3397.2641720304528,47395.553733631765,1876.976280183303
skas_12t,241.394782803,1..23,240,5,46,34,81655.94503266494,2977.8138490630945,51304.45194974106,2013.0423684100479
skas_12t,241.460214499,1..23,240,5,46,46,72885.10892242243,2667.4380545955905,49335.83789374827,2001.5846760942661
skas_12t,241.18812204,1..23,240,5,46,13,117951.95830112547,4559.320044858224,52371.62774941112,2109.1250589931565
skas_12t,241.152501335,1..23,240,5,46,29,70615.65390795065,2630.715318739643,50655.31431594137,1913.4441969583486
