dataset,duration,neighbours,max_duration,max_duration_ls,iterations,best_iteration,initial_costs,initial_distance,best_costs,best_distance
skas_12st,245.019733451,1..23,240,5,49,37,57936.78512906837,2033.6435211344758,35224.035435759404,1502.2312032997875
skas_12st+,245.019733451,1..23,240,5,49,37,66742.68176361361,2364.6393178879703,47742.73265800376,2019.728724246734
skas_12st,245.018576394,1..23,240,5,49,14,71036.05767048855,2538.835967986169,35387.305592923556,1552.0301759931626
skas_12st+,245.018576394,1..23,240,5,49,14,79637.91722523619,2846.0610627807864,50215.42888830974,2176.939468073981
skas_12st,245.018720793,1..23,240,5,49,43,70903.08557742905,2431.1972148336827,35685.80942561014,1429.3971123563113
skas_12st+,245.018720793,1..23,240,5,49,43,72653.67023836126,2495.453171522491,48961.26744456026,1930.3747947265101
skas_12st,245.021075846,1..23,240,5,49,9,53033.207781083314,2141.345685139745,37411.18010618331,1636.6519863676044
skas_12st+,245.021075846,1..23,240,5,49,9,63471.89312768749,2597.2800461852275,52782.996579613115,2267.411180789854
skas_12st,245.019963263,1..23,240,5,49,9,67547.13463401797,2671.5539151150997,34329.18431451346,1449.7286551618204
skas_12st+,245.019963263,1..23,240,5,49,9,79420.89552490656,3095.1526087990796,46342.46818497715,1904.940615880802
skas_12st,245.020078244,1..23,240,5,49,3,86718.77897580946,3178.801539664378,37829.85894981792,1497.8840992158464
skas_12st+,245.020078244,1..23,240,5,49,3,97461.98518030212,3631.40727428635,48867.64316762031,1937.3046576520508
skas_12st,245.017869579,1..23,240,5,49,30,74361.7078001901,2684.9421569134843,34754.046577460744,1487.3149102550624
skas_12st+,245.017869579,1..23,240,5,49,30,78330.88103361042,2856.637234346408,46212.930281454355,1976.6180887630012
skas_12st,245.019956772,1..23,240,5,49,3,73827.1811670306,2782.556341046427,35705.517357844874,1507.4739124938299
skas_12st+,245.019956772,1..23,240,5,49,3,82977.1906436433,3141.450058478627,46555.634256914214,1970.4433007276393
skas_12st,245.019567276,1..23,240,5,49,6,75060.15043989195,2789.5618530975353,37036.89862223062,1567.487699316682
skas_12st+,245.019567276,1..23,240,5,49,6,86786.66140631988,3235.9710664187555,50600.62344725385,2133.7945608012155
skas_12st,240.019118149,1..23,240,5,48,25,81282.0079630907,3180.6342281516045,34599.19869236137,1451.6362483219573
skas_12st+,240.019118149,1..23,240,5,48,25,93784.3614890724,3590.661545870907,48617.04588183901,1935.952473293994
skas_12st,245.019637647,1..23,240,5,49,9,80404.2493658594,2895.443981940266,36377.51048919313,1519.2887722583866
skas_12st+,245.019637647,1..23,240,5,49,9,93812.0660603954,3417.7859153221484,50237.791141291025,2046.414300501443
skas_12st,245.02027799,1..23,240,5,49,3,73961.75962795396,2785.288202975805,36617.240088126804,1620.5113320260737
skas_12st+,245.02027799,1..23,240,5,49,3,83759.34841677014,3189.649199527675,50952.45766049506,2198.766267581199
skas_12st,245.020570353,1..23,240,5,49,10,111648.4542073372,3727.875440093739,37777.62559159508,1579.3909462155946
skas_12st+,245.020570353,1..23,240,5,49,10,123718.11705671714,4151.76121762358,51680.47367107907,2100.459417349978
skas_12st,245.019779164,1..23,240,5,49,9,67902.29272275658,2610.414521805778,36616.09158664907,1541.2654659098723
skas_12st+,245.019779164,1..23,240,5,49,9,77627.51668514498,2934.6348778800707,49090.014532960166,1997.8500098168126
skas_12st,245.023683305,1..23,240,5,49,12,70416.36820612894,2775.313146479191,37389.4497342588,1628.530796954258
skas_12st+,245.023683305,1..23,240,5,49,12,76288.96702303564,3000.184746460589,50057.415226368976,2118.6553558329388
skas_12st,245.019605562,1..23,240,5,49,27,95727.27861960615,3507.870652451355,37678.18309540819,1642.0669811120727
skas_12st+,245.019605562,1..23,240,5,49,27,108001.8027166328,3990.188249555242,52982.807559441935,2279.9650073668686
skas_12st,240.018343067,1..23,240,5,48,48,72528.24725251728,2811.8314387327737,35409.658391832185,1467.867935685327
skas_12st+,240.018343067,1..23,240,5,48,48,80160.77897799987,3125.109469464624,48384.03088411281,1985.634837082071
skas_12st,245.020570388,1..23,240,5,49,36,61578.08615819917,2316.7708978799214,35515.107180054954,1559.4789800005894
skas_12st+,245.020570388,1..23,240,5,49,36,71828.37453644158,2748.510470610355,53338.748701535886,2307.258286203199
