dataset,duration,neighbours,max_no_improv,max_no_improv_ls,iterations,best_iteration,initial_costs,initial_distance,best_costs,best_distance
skas_12s_950+,5.863174207,1..23,200,50,243,36,93844.60865059233,3367.7766649842383,50023.03220025347,1994.1230958871095
skas_12s_950,9.187567581,1..23,200,50,399,192,84112.76755975316,3165.3667740148007,36485.44353388742,1542.0091755664857
skas_12s_950+,9.187567581,1..23,200,50,399,192,92298.94007104878,3451.3539942910033,50019.42132533375,2092.1872305042157
skas_12s_950,10.829175355,1..23,200,50,462,255,80337.30847180121,3287.533910190772,38262.85271719537,1619.6189648588493
skas_12s_950+,10.829175355,1..23,200,50,462,255,86152.64763054847,3491.617482348617,47284.08631426949,2000.7046026262299
skas_12s_950,13.58759072,1..23,200,50,559,352,82417.39355010944,3044.3789501999936,36627.19565614014,1473.0058379748784
skas_12s_950+,13.58759072,1..23,200,50,559,352,91950.98698165952,3358.5379561817717,47975.704443866045,1876.703707564303
skas_12s_950,7.316171525,1..23,200,50,312,105,76904.93328439687,2716.3765052596855,35954.73416647786,1437.10564724132
skas_12s_950+,7.316171525,1..23,200,50,312,105,85517.73397108729,3025.3959294767055,47245.99852449833,1872.227598461092
skas_12s_950,6.071560366,1..23,200,50,260,53,72928.0910249866,2799.816007254679,38750.65113355988,1582.5949783749782
skas_12s_950+,6.071560366,1..23,200,50,260,53,82642.90335062238,3159.1528802206026,49348.860558904256,1979.467249686315
skas_12s_950,7.45821527,1..23,200,50,315,108,67317.02410748682,2599.6461423110504,38965.753576708696,1614.82226250476
skas_12s_950+,7.45821527,1..23,200,50,315,108,71929.20599866146,2761.38012762309,50921.47207247526,2082.9802313161777
skas_12s_950,10.622636769,1..23,200,50,452,245,92108.04179076957,3238.578112644447,37230.50420182762,1539.6466252509526
skas_12s_950+,10.622636769,1..23,200,50,452,245,95139.97755462263,3342.949366058494,49140.22057549737,2042.434528436841
skas_12s_950,9.103893348,1..23,200,50,384,177,71617.88472517216,2714.410705277897,37107.07735815795,1588.423249677738
skas_12s_950+,9.103893348,1..23,200,50,384,177,75716.4083140019,2818.5290452251083,47923.402335262785,2014.349341780128
skas_12s_950,5.251517486,1..23,200,50,215,8,53033.41981687726,2074.6550981169653,38902.07700337036,1655.0452252256
skas_12s_950+,5.251517486,1..23,200,50,215,8,54559.78126907276,2124.2586988731814,48563.028188112556,2066.315970307295
skas_12s_950,12.470703971,1..23,200,50,523,316,64574.333002104584,2476.994671076532,36692.16121892088,1518.4291590295043
skas_12s_950+,12.470703971,1..23,200,50,523,316,77872.58050786292,2926.637493758075,49353.02878609544,2003.6725343069884
skas_12s_950,6.153599777,1..23,200,50,264,57,63509.49680985258,2354.5282280365345,35654.87412830786,1480.0337904374587
skas_12s_950+,6.153599777,1..23,200,50,264,57,70473.08643027177,2644.930511097705,46955.0869296019,1910.294538095769
skas_12s_950,15.434624818,1..23,200,50,637,430,72183.52350476121,2694.796998043663,35585.695708017316,1494.1339348955166
skas_12s_950+,15.434624818,1..23,200,50,637,430,83053.37805874758,3122.106621799542,49212.560071381275,2034.5708640296716
skas_12s_950,6.173215725,1..23,200,50,256,49,102669.28640546619,3459.637669140954,38297.79731338809,1531.8280570074317
skas_12s_950+,6.173215725,1..23,200,50,256,49,114824.61097263884,3897.068042481152,53228.464303549415,2066.2130911467475
skas_12s_950,10.692966308,1..23,200,50,465,258,67899.38582619652,2733.7775059826167,40271.88787636545,1648.7035072837934
skas_12s_950+,10.692966308,1..23,200,50,465,258,77079.84117700758,3012.364851354099,51790.92777419925,2041.434957095634
skas_12s_950,10.221228543,1..23,200,50,440,233,84659.10320803762,3166.3211788932613,37211.024239673134,1532.0786096097827
skas_12s_950+,10.221228543,1..23,200,50,440,233,94944.92311692033,3587.9120479878034,49125.27556515412,1993.160154780449
skas_12s_950,7.441383598,1..23,200,50,326,119,63381.43486180938,2484.4511435225913,38003.31643850835,1606.4876139513754
skas_12s_950+,7.441383598,1..23,200,50,326,119,71484.32685011672,2792.2301267809607,46068.9036075558,1904.504868079783
skas_12s_950,4.959175643,1..23,200,50,215,8,69734.33362182789,2554.4840655475255,40214.45230659252,1693.1093850378827
skas_12s_950+,4.959175643,1..23,200,50,215,8,79303.49227567959,2971.7383043923855,51848.53689814639,2130.352052556011
skas_12s_950,4.963181685,1..23,200,50,222,15,69974.14126484239,2816.2271575909126,38002.76426406826,1694.2015904261013
skas_12s_950+,4.963181685,1..23,200,50,222,15,81235.47970050051,3215.934474012336,48316.6350891511,2113.064297509524
skas_12s_950,11.647617011,1..23,200,50,502,295,75645.82503551683,2767.751496766838,37158.482975017534,1532.5212163132626
skas_12s_950+,11.647617011,1..23,200,50,502,295,78200.94896151131,2862.7277523592984,48416.208291600524,2008.563719145047
skas_12s_950,12.048742932,1..23,200,50,531,324,110217.38007510555,3655.7394659453444,38895.51891698637,1664.1739459004286
skas_12s_950+,12.048742932,1..23,200,50,531,324,118818.03716821109,3995.103024586138,50362.20710891898,2139.5147611898897
skas_12s_950,5.781575717,1..23,200,50,266,59,80138.57139774141,2846.5471362954977,38371.44386627111,1567.3748598418163
skas_12s_950+,5.781575717,1..23,200,50,266,59,87666.8430648468,3104.6615685229144,53183.072533168626,2185.764673065623
skas_12s_950,6.090459825,1..23,200,50,264,57,60898.09425039081,2223.6244131250633,37642.11184049049,1512.598970856763
skas_12s_950+,6.090459825,1..23,200,50,264,57,72516.86922494214,2652.4649681838564,53211.09980900352,2107.0518747093897
skas_12s_950,5.702117059,1..23,200,50,264,57,66464.03481719847,2510.970392985492,37116.50439028362,1520.099778267002
